polish,english,example,grammatical_type
Alkohol szkodzi zdrowiu,Alcohol harms health,,* > -u
Bawisz się twoim rowerem,You're playing with your bike,,* > -em
Bawię się moim samochodem,I'm playing with my car,,* > -em
Benek schował się w drzewie,Ben hid in a tree,,-wo > -wie
Budujemy waszymi narzędziami,We're building with your tools,,* > -ami
Chcę mi się spać,I want to sleep,,personal pronoun
Chcę siedzieć między corką i synem,I want to sit between my daughter and my son,,
Chyba po śniadaniu,Probably after breakfast,,-ie > -iu
Czekam przed domem,I'm waiting in front of the house,,* > -em
Daj im to!,Give them it!,,personal pronoun
Daj jej to!,Give her it!,,personal pronoun
Daj mi to!,Give me it!,,personal pronoun
Daj mu to!,Give him it!,,personal pronoun
Daj nam to!,Give us it!,,personal pronoun
Daję ci to,I'm giving you it,,personal pronoun
Daję wam to,I'm giving you (plural) it,,personal pronoun
Dałem wodę mojemu spragnionemu kotu,I gave water to my thirsty cat,,* > -u
Dałem wodę temu chłopakowi,I gave water to this boy,,* > -owi
Dzieci są w szkole,The children are in school,,-ła > -le
Ich samochód jest w garażu,Their car is in the garage,,-ż > -żu
Interesuję się polityką,I'm interested in politics,,-a > -ą
Jadę tym szybkim pociągiem,I'm going by this fast train,,* > -em
Jemy naszymi łyżkami,We're eating with our spoons,,* > -ami
Jemy tymi widelcami,We're eating with these forks,,* > -ami
Jestem na starym mieście,I'm in the old town,,-to > -cie
Jestem nad morzem,I'm at the seaside,,* > -em
Jestem w zepsutej windzie,I'm in a broken lift,,-da > -dzie
Jesteśmy na dworcu,We're at the station,,-c > -cu
Jesteśmy w hotelu,We're in the hotel,,-l > -lu
Jesteśmy w ich pokoju,We're in their room,,-j > -ju
Jesteśmy w pociągu,We're on the train,,-g > -gu
Kot śpi pod stołem,The cat's sleeping under the table,,* > -em
Krowa je trawę w polu,The cow is eating grass in a field,,-le > -lu
Lecimy nad Warszawą,We're flying above Warsaw,,-a > -ą
Mam czas po poniedziałku,I have time after Monday,,-k > -ku
Mamy szkielet w szafie!,We have a skeleton in the closet!,,-fa > -fie
Masz kozy w nosie?,Do you have a snot in your nose?,,-s > -sie
Mieszkamy poza Warszawą,We live outside of Warsaw,,-a > -ą
Mleko jest w lodówce,The milk's in the fridge,,-ka > -ce
Musimy rozmawiać o tym nieuczciwym gościu,We have to talk about this dishonest guest,,-ć > -ciu
Myję się tamtym białym mydłem,I'm washing myself with that white soap,,* > -em
Myję się tą czystą wodą,I'm washing myself with this clean water,,-a > -ą
Myślę o twoim gołym ciele!,I'm thinking about your naked body!,,-ło > -le
Myśłę o mojej Ewie,I'm thinking about my Ewa,,-wa > -wie
Mówimy o jego szefie,We're speaking about his boss,,-f > -fie
Na tym czerwonym stole,On this red table,,-ł > -le
Na tym samym poziomie,On the same level,,-m > -mie
Nie przeszkadzaj naszemu sąsiadowi,Don't disturb our neighbour,,* > -owi
Nie siedź na tej zimnej podłodze!,Don't sit on this cold floor!,,-ga > -dze
Nie skacz po tatusiu!,Don't jump on Daddy!,,-ś > -siu
O brzydkim instytucie,About the ugly institute,,-t > -cie
O jego ogromnej rzepie,About his enormous turnip,,-pa > -pie
O mnie,About me,,personal pronoun
O nas,About us,,personal pronoun
O nich,About them,,personal pronoun
O niej,About her,,personal pronoun
O nim,About him,,personal pronoun
O tamtej łzie,About that tear,,-za > -zie
O tamtych drogich krzesłach,About those expensive chairs,,* > -ach
O tej biednej ofierze,About the poor victim,,-ra > -rze
O tej nudnej rzeźbie,About this boring sculpture,,-ba > -bie
O tobie,About you,,personal pronoun
O twoich smacznych grzybach,About your tasty mushrooms,,* > -ach
O tych szybkich rybach,About these fast fish,,* > -ach
O tym grzybie,About this mushroom,,-b > -bie
O was,About you (plural),,personal pronoun
On jest w drużynie piłkarskiej,He's on the football team,,-na > -nie
Oni pozwalają waszemu dziecku pić kawę!,They allow your child to drink coffee!,,* > -u
Pomagam moim młodym uczniom,I'm helping my young students,,* > -om
Pomagam naszym młodym osobom,I'm helping our young people,,* > -om
Pomagam twoim młodym dzieciom,I'm helping your young children,,* > -om
Pomogę twojemu biednemu koniowi,I'll help your poor horse,,-ń > -niowi
"Poza pracą, nic go nie interesuje","Besides work, he's not interested in anything",,-a > -ą
Pracuje przy jej biurku,She is working at her desk,,-ko > -ku
Pracuję pod Krakowem,I work in the suburbs of Kraków,,* > -em
Pracuję w biurze,I'm working in the office,,-ro > -rze
Pracuję w moim własnym barze,I work in my own bar,,-r > -rze
Przy twoim telefonie,By your telephone,,-n > -nie
Przy twojej mamie,Beside your Mummy,,-ma > -mie
Przy waszym obrazie,By your painting,,-z > -zie
Przyjdź do nas przed dziewiątą,Come before nine,,-a > -ą
Rozmawiamy o jej motywie,We're talking about her motive,,-w > -wie
Schował się za drzewem,He hid behind a tree,,* > -em
Sikam w toalecie!,I'm pissing in the toilet!,,-ta > -cie
Są owoce w misie,There's fruit in the bowl,,-sa > -sie
Słyszę coś na dachu!,I hear something on the roof!,,-ch > -chu
W drugiej pończosze,In the other stocking,,-cha > -sze
"W lecie, jedziemy na wakacje","In summer, we go on holiday",,-to > -cie
W naszym starym samochodzie,In our old car,,-d > -dzie
W sklepie,In the shop,,-p > -pie
Z nami,With us,,personal pronoun
Z nim,With him,,personal pronoun
Z nimi,With them,,personal pronoun
Z nią,With her,,personal pronoun
Z tobą,With you,,personal pronoun
Z wami,With you (plural),,personal pronoun
Ze mną,With me,,personal pronoun
absolwent,graduate,,n noun
aby,in order to,Aby odnieść sukces nie muszą koniecznie studiować,conjunction
aksamitny,velvety,,adjective
akurat,exactly,,particle
aleja,avenue,Nie ma alei,f noun
ambasada,embassy,,f noun
analiza,analysis,,f noun
angażować się,to involve oneself in (repeated),,verb
ankieta,survey/questionnaire,,f noun
apodyktyczny,domineering/bossy,,adjective
aprobata,approval,,f noun
aspekt dokonany,perfective aspect,,linguistic
aspekt niedokonany,imperfective aspect,,linguistic
atelier,studio,,n noun
autorytet,authority,,m noun
awans,promotion,Nie ma awansu,m noun
badacz,researcher,Nie ma badacza,m noun
badanie,study/test/research,,n noun
badać,to research/investigate (repeated),,verb
bandyci,bandits,,m plural noun
bandyta,bandit,,m noun
barwa,colour,,f noun
bać się,"to be scared, to fear",,verb
bezdomny,homeless,,adjective
bezinteresowny,selfless/unselfish,,adjective
beznadziejny,hopeless,,adjective
bezokolicznik,infinitive,,linguistic
bezowocny,fruitless,,adjective
bezpieczeństwo,security/safety,,n noun
bezpieczny,safe,,adjective
bezrobocie,unemployment,,n noun
bezwzględny,ruthless,,adjective
bieganie,running,,n noun
biernik (kogo? co?),accusative case,,m noun
bierz (brać),Take! (repeated),,imperative
bierzesz (brać),You are taking,,conjugation
biorę (brać),I am taking,,conjugation
biżuteria,jewellery,,f noun
bliskość,closeness/nearness,,f noun
blizna,scar,,f noun
bliźniaczka,twin (female),,f noun
bliźniak,twin (male),,m noun
blokada,blockage,,f noun
bogactwo,wealth,,n noun
bohater,hero/protagonist,,m noun
bojaźliwy,timid,,adjective
bok,side,Nie ma boku,m noun
boleć,to ache/hurt,Boli mnie głowa,verb
boleśnie,painfully,,adverb
brak,a lack,,m noun
brakować,to lack,Brakuje mi wyobraźni (I lack imagination),verb
brakujący,missing,Uzupełnić brakujące litery (Fill in the missing letters),adjective
bramka,goal/gate,,f noun
branża,branch/trade/business,,f noun
bratowa,sister-in-law,,f noun
bronić,to defend (repeated),,verb
broń,weapon,,f noun
brzeg,edge/brim,Nie ma brzegu,m noun
brzmienie,sound/tone,,n noun
brzmieć,to sound (repeated),,verb
brzmij (brzmieć),Sound! (repeated),,imperative
brzmisz (brzmieć),You sound,,conjugation
brzmię (brzmieć),I sound,,conjugation
budować,to build (repeated),,verb
buntownik,rebel/mutineer,,m noun
burmistrz,mayor,,m noun
burz (burzyć),Demolish/destroy! (repeated),,imperative
burzliwy,stormy,,adjective
burzysz (burzyć),You are demolishing/destroying,,conjugation
burzyć,to demolish/destroy (repeated),,verb
burzę (burzyć),I am demolishing/destroying,,conjugation
bydło,cattle,,n noun
bywać,to be (frequentative),Bywa trochę irytuący (He can be a bit irritating),verb
były,ex/former,,adjective
bzdura,nonsense/rubbish,,f noun
bójka,fight,,f noun
błahy,trivial,,adjective
błysk,flash/twinkle,Nie ma błysku,m noun
błąd,mistake/error,Nie ma błędu (There's no mistake),m noun
całkowicie,completely/totally,,adverb
cecha,feature/trait/property/attribute,Odwaga jest ważna cecha charakteru,f noun
celibat,celibacy,Nie ma celibatu,m noun
celować,to aim (repeated),,verb
celownik (komu? czemu?),dative case,,m noun
cenić,to value/appreciate,Konsumenci cenią niższe ceny,verb
charytatywny,charitable,,adjective
chmiel,hop,Nie me chmielu,m noun
chociaż,(even) though,"Nie jestem wesoły, chociaż piję wino",conjunction
chodzenie,walking,,n noun
choroba,disease,,f noun
choć,(even) though,"Jestem smutny, choć mam wino",conjunction
chwilowo,momentarily/temporarily,Sklep jest chwilowo nieczynny,adverb
chwilowy,temporary,,adjective
chwycić,to grasp/grab (once),,perf verb
chwytać,to grasp/grab (repeated),,verb
chętny,eager,,adjective
chęć,desire,,f noun
ciasny,tight/cramped,,adjective
ciekawość,curiosity/interest,,f noun
cienki,thin,,adjective
cierpienie,suffering,,n noun
cierpieć,to suffer,Cały naród cierpi (The whole nation suffers),verb
cisza,silence,,f noun
ciągle,continuously,,adverb
ciąża,pregnancy,Mama była w czwartym miesiącu ciąży,f noun
ciężar,weight,Nie ma ciężaru,m noun
cofać,to reverse (repeated),,verb
cofniesz (cofnąć),You will reverse,,conjugation
cofnąć,to reverse (once),,perf verb
cofnę (cofnąć),I will reverse,,conjugation
cud,miracle/marvel/wonder,Nie ma cudu,m noun
